area,time,OBS,EXP,pop,type,Average_cloud_volume,rain_fall,Average_temperature_(Celsius),wind_speed,Average_maximum_relative_humidity
Lamphun,10,5,10.69202571,403952,1,4,156.7,20.5,0.7,98
Loei,10,10,16.54072936,624920,1,4,38.45,18.65,1.5,94.5
Lop Buri,10,42,20.01358904,756127,1,6.5,101.7,22.6,3.05,82
Mae Hong Son,10,0,6.459597897,244048,1,4.5,78.95,21,0.2,98
Maha Sarakham,10,18,24.87345395,939736,1,5,37.4,21.9,2.9,91
Mukdahan,10,2,9.014686911,340581,1,4,43.4,22.1,2.3,86
Nakhon Nayok,10,11,6.71853977,253831,1,0,0,0,0,0
Nakhon Pathom,10,41,22.92346257,866064,1,5,140.5,21.4,0.9,97
Nakhon Phanom,10,5,18.65419053,704768,1,4.5,76.4,20.35,2.1,89.5
Nakhon Ratchasima,10,55,68.42981681,2585325,1,6,104.2333333,22.16666667,2.866666667,84.66666667
Nakhon Sawan,10,43,28.36597977,1071686,1,5,133.25,22.4,1.4,80
Nakhon Si Thammarat,10,34,40.39289411,1526071,1,5.666666667,108.0333333,17.13333333,1.766666667,96
Nan,10,0,12.61523091,476612,1,4.25,156.8,19.2,0.1,96
Narathiwat,10,11,19.78185684,747372,1,6,41.4,25.7,2.2,92
Nong Bua Lam Phu,10,0,13.30179876,502551,1,3,0,0,0,87
Nong Khai,10,1,13.49552211,509870,1,4,43.9,21.2,2.2,88
Nonthaburi,10,29,29.71431443,1122627,1,8,77.2,0,0,0
Pathum Thani,10,6,26.75700925,1010898,1,8,77.2,24.2,2.1,87
Pattani,10,3,17.56148918,663485,1,6,110.4,26.3,0.8,93
Phangnga,10,8,6.74765518,254931,1,6,112,24.4,1.45,81.5
Phatthalung,10,29,13.52709909,511063,1,6,214.3,27.7,2.7,85
Phayao,10,0,12.87621086,486472,1,5,138.4,26.5,1.7,94
Phetchabun,10,15,26.22522952,990807,1,6,171.3,19.1,0.6,96
Phetchaburi,10,33,12.33643762,466079,1,4.666666667,103.2666667,21.83333333,0.6,88.33333333
Phichit,10,22,14.54944703,549688,1,6,65.8,22.7,5.4,83
Phitsanulok,10,14,22.53418953,851357,1,6,145.5,22.3,1.3,95
Phra Nakhon Si Ayutthaya,10,5,20.84803671,787653,1,6,92.4,21.5,1.9,93
Phrae,10,1,12.14244958,458750,1,6,17.9,22.4,4.3,81
Phuket,10,9,9.365818761,353847,1,8,247.8,20.3,0.4,98
Prachin Buri,10,32,12.43100977,469652,1,6,117.7,27.25,3.55,85
Prachuap Khiri Khan,10,21,13.56693427,512568,1,5,14.86666667,23.46666667,2.266666667,83.66666667
Ranong,10,1,4.866217358,183849,1,5,75,26.3,3.4,82
Ratchaburi,10,96,22.30462775,842684,1,4,52.7,22.5,2.5,90
Rayong,10,68,16.87995036,637736,1,7,194.4,23.8,1.75,83
Roi Et,10,23,34.54299938,1305058,1,5.5,95.5,22.2,3.45,87
Sa Kaeo,10,14,14.4411377,545596,1,5.5,211.8,23.65,1.55,89
Sakon Nakhon,10,2,29.73347766,1123351,1,3,96.05,20.35,1.15,91
Samut Prakan,10,34,31.84757408,1203223,1,7,67.9,24.4,5.4,78.66666667
Samut Sakhon,10,92,13.21040284,499098,1,7,67.9,0,0,0
Samut Songkhram,10,27,5.137175955,194086,1,0,0,0,0,0
Saraburi,10,14,16.42252079,620454,1,6,0,0,0,85
Satun,10,10,7.979395853,301467,1,6,118,27.1,1.8,82
Si Sa Ket,10,50,38.43771489,1452203,1,4,86.7,22.7,1.4,88
Sing Buri,10,0,5.653339245,213587,1,6.5,0,0,0,85
Songkhla,10,44,36.18277929,1367010,1,5.25,90.225,25.95,3.775,89.5
Sukhothai,10,10,15.92094167,601504,1,6,254.3,21.5,0.4,96
Suphan Buri,10,12,22.36733176,845053,1,6,33,22.55,0.8,89.5
Surat Thani,10,23,26.78787159,1012064,1,5.5,42.675,25.325,2.525,94
Surin,10,47,36.53716677,1380399,1,5,67.33333333,22.13333333,2.133333333,89
Tak,10,17,14.05527911,531018,1,5,111.22,19.92,1,94.2
Trang,10,5,16.58805513,626708,1,6,293.4,24.8,3.5,83
Trat,10,12,5.876363289,222013,1,4,122.5,26.7,4.6,89
Ubon Ratchathani,10,23,48.06840448,1816057,1,7,92.05,22.95,2.85,89
Udon Thani,10,0,40.97615519,1548107,1,4,100.5,20.6,1.9,89
Uthai Thani,10,8,8.682585952,328034,1,0,0,0,0,0
Uttaradit,10,8,12.20306257,461040,1,5,230.1,22.5,0,88
Yala,10,7,13.06929897,493767,1,6,90,25.6,2.8,95
Yasothon,10,5,14.26266024,538853,1,5,92.05,0,0,88
Amnat Charoen,11,4,9.382122876,372241,1,7,92.05,0,0,88
Ang Thong,11,15,7.159596085,284061,1,6,17.9,0,0,88
Bangkok Metropolis,11,304,143.031193,5674843,1,7,111.62,25.05,2.65,76.5
Bueng Kan,11,2,10.27418333,407634,1,4,0,0,0,75
Buri Ram,11,15,39.29585146,1559085,1,5.5,93.15,21.95,1.85,90
Chachoengsao,11,37,17.12313479,679370,1,7,181,22.6,1.9,90
Chai Nat,11,14,8.399528104,333256,1,5,70.1,22.1,1.4,90
Chaiyaphum,11,13,28.41605605,1127423,1,6,158.9,21.5,2.5,80
Chanthaburi,11,27,13.02703657,516855,1,6,200,24.5,2.8,84
Chiang Mai,11,19,41.49012408,1646144,1,4.5,126.15,17.9,2.5,86.5
Chiang Rai,11,14,30.21144333,1198656,1,5,94,18.3,0.85,97
Chon Buri,11,28,33.74006378,1338656,1,6,110.4,19.8,3.74,80
Chumphon,11,8,12.40516762,492182,1,5.5,42.05,24.15,2.2,93
Kalasin,11,0,24.74205644,981655,1,4,42.1,21.3,5,89
Kamphaeng Phet,11,14,18.29864428,726009,1,5,47,22.1,0.9,93
Kanchanaburi,11,40,21.14435065,838914,1,4.5,93.2,22.9,0.55,90.5
Khon Kaen,11,32,44.51268995,1766066,1,4.5,54.1,21.5,2.35,89.5
Krabi,11,23,11.04052408,438039,1,5.5,46.6,26.75,3.4,88.5
Lampang,11,4,19.09321399,757534,1,4.666666667,106.1,20.7,0.533333333,96
Lamphun,11,3,10.18138061,403952,1,4,156.7,20.5,0.7,98
Loei,11,6,15.75075348,624920,1,4,38.45,18.65,1.5,94.5
Lop Buri,11,49,19.05775136,756127,1,6.5,101.7,22.6,3.05,82
Mae Hong Son,11,0,6.151091158,244048,1,4.5,78.95,21,0.2,98
Maha Sarakham,11,7,23.68551187,939736,1,5,37.4,21.9,2.9,91
Mukdahan,11,0,8.584150567,340581,1,4,43.4,22.1,2.3,86
Nakhon Nayok,11,7,6.397666113,253831,1,0,0,0,0,0
Nakhon Pathom,11,46,21.82865097,866064,1,5,140.5,21.4,0.9,97
Nakhon Phanom,11,0,17.76327695,704768,1,4.5,76.4,20.35,2.1,89.5
Nakhon Ratchasima,11,58,65.16164749,2585325,1,6,104.2333333,22.16666667,2.866666667,84.66666667
Nakhon Sawan,11,21,27.01123664,1071686,1,5,133.25,22.4,1.4,80
Nakhon Si Thammarat,11,20,38.46375235,1526071,1,5.666666667,108.0333333,17.13333333,1.766666667,96
Nan,11,0,12.01273462,476612,1,4.25,156.8,19.2,0.1,96
Narathiwat,11,14,18.83708656,747372,1,6,41.4,25.7,2.2,92
Nong Bua Lam Phu,11,0,12.66651238,502551,1,3,0,0,0,87
Nong Khai,11,5,12.85098361,509870,1,4,43.9,21.2,2.2,88
Nonthaburi,11,39,28.29517559,1122627,1,8,77.2,0,0,0
Pathum Thani,11,12,25.47910964,1010898,1,8,77.2,24.2,2.1,87
Pattani,11,10,16.72276239,663485,1,6,110.4,26.3,0.8,93
Phangnga,11,8,6.425390988,254931,1,6,112,24.4,1.45,81.5
Phatthalung,11,26,12.8810525,511063,1,6,214.3,27.7,2.7,85
Phayao,11,0,12.26125032,486472,1,5,138.4,26.5,1.7,94
Phetchabun,11,10,24.9727274,990807,1,6,171.3,19.1,0.6,96
Phetchaburi,11,27,11.74725634,466079,1,4.666666667,103.2666667,21.83333333,0.6,88.33333333
Phichit,11,13,13.85457367,549688,1,6,65.8,22.7,5.4,83
Phitsanulok,11,9,21.45796939,851357,1,6,145.5,22.3,1.3,95
Phra Nakhon Si Ayutthaya,11,9,19.85234627,787653,1,6,92.4,21.5,1.9,93
Phrae,11,1,11.56253306,458750,1,6,17.9,22.4,4.3,81
Phuket,11,2,8.918512558,353847,1,8,247.8,20.3,0.4,98
Prachin Buri,11,26,11.83731178,469652,1,6,117.7,27.25,3.55,85
Prachuap Khiri Khan,11,18,12.91898517,512568,1,5,14.86666667,23.46666667,2.266666667,83.66666667
Ranong,11,7,4.633809571,183849,1,5,75,26.3,3.4,82
Ratchaburi,11,113,21.23937136,842684,1,4,52.7,22.5,2.5,90
Rayong,11,63,16.07377348,637736,1,7,194.4,23.8,1.75,83
Roi Et,11,14,32.89324528,1305058,1,5.5,95.5,22.2,3.45,87
Sa Kaeo,11,5,13.75143714,545596,1,5.5,211.8,23.65,1.55,89
Sakon Nakhon,11,0,28.3134236,1123351,1,3,96.05,20.35,1.15,91
Samut Prakan,11,27,30.32655197,1203223,1,7,67.9,24.4,5.4,78.66666667
Samut Sakhon,11,78,12.57948147,499098,1,7,67.9,0,0,0
Samut Songkhram,11,33,4.891827339,194086,1,0,0,0,0,0
Saraburi,11,14,15.63819049,620454,1,6,0,0,0,85
Satun,11,13,7.598304424,301467,1,6,118,27.1,1.8,82
Si Sa Ket,11,21,36.60195139,1452203,1,4,86.7,22.7,1.4,88
Sing Buri,11,0,5.383338962,213587,1,6.5,0,0,0,85
Songkhla,11,31,34.45471023,1367010,1,5.25,90.225,25.95,3.775,89.5
Sukhothai,11,7,15.16056651,601504,1,6,254.3,21.5,0.4,96
Suphan Buri,11,10,21.29908066,845053,1,6,33,22.55,0.8,89.5
Surat Thani,11,23,25.50849801,1012064,1,5.5,42.675,25.325,2.525,94
Surin,11,23,34.79217237,1380399,1,5,67.33333333,22.13333333,2.133333333,89
Tak,11,15,13.38400693,531018,1,5,111.22,19.92,1,94.2
Trang,11,9,15.79581901,626708,1,6,293.4,24.8,3.5,83
Trat,11,9,5.595711504,222013,1,4,122.5,26.7,4.6,89
Ubon Ratchathani,11,6,45.77268469,1816057,1,7,92.05,22.95,2.85,89
Udon Thani,11,2,39.01915721,1548107,1,4,100.5,20.6,1.9,89
Uthai Thani,11,11,8.267910562,328034,1,0,0,0,0,0
Uttaradit,11,13,11.62025121,461040,1,5,230.1,22.5,0,88
Yala,11,8,12.44511665,493767,1,6,90,25.6,2.8,95
Yasothon,11,1,13.58148366,538853,1,5,92.05,0,0,88
Amnat Charoen,12,0,5.489848989,372241,1,7,92.05,0,0,88
Ang Thong,12,8,4.189361177,284061,1,6,17.9,0,0,88
Bangkok Metropolis,12,177,83.69317487,5674843,1,7,111.62,25.05,2.65,76.5
Bueng Kan,12,0,6.011828635,407634,1,4,0,0,0,75
Buri Ram,12,9,22.99354776,1559085,1,5.5,93.15,21.95,1.85,90
Chachoengsao,12,16,10.01941943,679370,1,7,181,22.6,1.9,90
Chai Nat,12,8,4.914894154,333256,1,5,70.1,22.1,1.4,90
Chaiyaphum,12,9,16.62735168,1127423,1,6,158.9,21.5,2.5,80
Chanthaburi,12,20,7.622631304,516855,1,6,200,24.5,2.8,84
Chiang Mai,12,9,24.27750295,1646144,1,4.5,126.15,17.9,2.5,86.5
Chiang Rai,12,10,17.67790337,1198656,1,5,94,18.3,0.85,97
Chon Buri,12,19,19.74263794,1338656,1,6,110.4,19.8,3.74,80
Chumphon,12,3,7.258751334,492182,1,5.5,42.05,24.15,2.2,93
Kalasin,12,0,14.47755005,981655,1,4,42.1,21.3,5,89
Kamphaeng Phet,12,10,10.70725625,726009,1,5,47,22.1,0.9,93
Kanchanaburi,12,10,12.37239094,838914,1,4.5,93.2,22.9,0.55,90.5
Khon Kaen,12,22,26.04612508,1766066,1,4.5,54.1,21.5,2.35,89.5
Krabi,12,17,6.460244738,438039,1,5.5,46.6,26.75,3.4,88.5
Lampang,12,6,11.17219023,757534,1,4.666666667,106.1,20.7,0.533333333,96
Lamphun,12,0,5.957526116,403952,1,4,156.7,20.5,0.7,98
Loei,12,3,9.216385165,624920,1,4,38.45,18.65,1.5,94.5
Lop Buri,12,18,11.15143965,756127,1,6.5,101.7,22.6,3.05,82
Mae Hong Son,12,0,3.59924529,244048,1,4.5,78.95,21,0.2,98
Maha Sarakham,12,1,13.85932428,939736,1,5,37.4,21.9,2.9,91
Mukdahan,12,0,5.022924016,340581,1,4,43.4,22.1,2.3,86
Nakhon Nayok,12,2,3.743525992,253831,1,0,0,0,0,0
Nakhon Pathom,12,25,12.77280196,866064,1,5,140.5,21.4,0.9,97
Nakhon Phanom,12,3,10.39399178,704768,1,4.5,76.4,20.35,2.1,89.5
Nakhon Ratchasima,12,18,38.12864203,2585325,1,6,104.2333333,22.16666667,2.866666667,84.66666667
Nakhon Sawan,12,9,15.80533661,1071686,1,5,133.25,22.4,1.4,80
Nakhon Si Thammarat,12,13,22.50665385,1526071,1,5.666666667,108.0333333,17.13333333,1.766666667,96
Nan,12,0,7.029123354,476612,1,4.25,156.8,19.2,0.1,96
Narathiwat,12,26,11.02232,747372,1,6,41.4,25.7,2.2,92
Nong Bua Lam Phu,12,0,7.411674424,502551,1,3,0,0,0,87
Nong Khai,12,0,7.519615798,509870,1,4,43.9,21.2,2.2,88
Nonthaburi,12,24,16.55661977,1122627,1,8,77.2,0,0,0
Pathum Thani,12,4,14.90882886,1010898,1,8,77.2,24.2,2.1,87
Pattani,12,4,9.785145797,663485,1,6,110.4,26.3,0.8,93
Phangnga,12,7,3.759748906,254931,1,6,112,24.4,1.45,81.5
Phatthalung,12,38,7.537210286,511063,1,6,214.3,27.7,2.7,85
Phayao,12,1,7.17453966,486472,1,5,138.4,26.5,1.7,94
Phetchabun,12,3,14.6125247,990807,1,6,171.3,19.1,0.6,96
Phetchaburi,12,14,6.873781574,466079,1,4.666666667,103.2666667,21.83333333,0.6,88.33333333
Phichit,12,8,8.106855804,549688,1,6,65.8,22.7,5.4,83
Phitsanulok,12,7,12.5559016,851357,1,6,145.5,22.3,1.3,95
Phra Nakhon Si Ayutthaya,12,1,11.61638838,787653,1,6,92.4,21.5,1.9,93
Phrae,12,2,6.76569272,458750,1,6,17.9,22.4,4.3,81
Phuket,12,7,5.218572364,353847,1,8,247.8,20.3,0.4,98
Prachin Buri,12,8,6.92647655,469652,1,6,117.7,27.25,3.55,85
Prachuap Khiri Khan,12,16,7.559406182,512568,1,5,14.86666667,23.46666667,2.266666667,83.66666667
Ranong,12,5,2.711424176,183849,1,5,75,26.3,3.4,82
Ratchaburi,12,51,12.42799129,842684,1,4,52.7,22.5,2.5,90
Rayong,12,39,9.405396867,637736,1,7,194.4,23.8,1.75,83
Roi Et,12,5,19.24713114,1305058,1,5.5,95.5,22.2,3.45,87
Sa Kaeo,12,3,8.046506562,545596,1,5.5,211.8,23.65,1.55,89
Sakon Nakhon,12,1,16.5672974,1123351,1,3,96.05,20.35,1.15,91
Samut Prakan,12,16,17.74525797,1203223,1,7,67.9,24.4,5.4,78.66666667
Samut Sakhon,12,44,7.360749221,499098,1,7,67.9,0,0,0
Samut Songkhram,12,6,2.862400517,194086,1,0,0,0,0,0
Saraburi,12,6,9.150520133,620454,1,6,0,0,0,85
Satun,12,13,4.446066675,301467,1,6,118,27.1,1.8,82
Si Sa Ket,12,17,21.41724091,1452203,1,4,86.7,22.7,1.4,88
Sing Buri,12,0,3.150003294,213587,1,6.5,0,0,0,85
Songkhla,12,35,20.16080568,1367010,1,5.25,90.225,25.95,3.775,89.5
Sukhothai,12,4,8.871043562,601504,1,6,254.3,21.5,0.4,96
Suphan Buri,12,11,12.46292955,845053,1,6,33,22.55,0.8,89.5
Surat Thani,12,15,14.92602515,1012064,1,5.5,42.675,25.325,2.525,94
Surin,12,9,20.35826804,1380399,1,5,67.33333333,22.13333333,2.133333333,89
Tak,12,6,7.831508702,531018,1,5,111.22,19.92,1,94.2
Trang,12,15,9.242754775,626708,1,6,293.4,24.8,3.5,83
Trat,12,14,3.274270818,222013,1,4,122.5,26.7,4.6,89
Ubon Ratchathani,12,2,26.78339755,1816057,1,7,92.05,22.95,2.85,89
Udon Thani,12,0,22.83164307,1548107,1,4,100.5,20.6,1.9,89
Uthai Thani,12,5,4.837879555,328034,1,0,0,0,0,0
Uttaradit,12,3,6.799465878,461040,1,5,230.1,22.5,0,88
Yala,12,5,7.282127079,493767,1,6,90,25.6,2.8,95
Yasothon,12,0,7.947060097,538853,1,5,92.05,0,0,88
Amnat Charoen,1,3,9.922393729,372241,2,7.5,237.55,0,0,88
Ang Thong,1,4,7.571882423,284061,2,8,227.4,0,0,88
Bangkok Metropolis,1,477,151.2676642,5674843,2,7.25,213.94,26.475,2.825,81.5
Bueng Kan,1,0,10.86582361,407634,2,5,0,0,0,75
Buri Ram,1,37,41.55870854,1559085,2,6.5,310.05,23.4,1.55,88
Chachoengsao,1,36,18.10917289,679370,2,8,262.6,24.4,1.8,91
Chai Nat,1,2,8.8832161,333256,2,7,178.6,24.7,3.1,88
Chaiyaphum,1,4,30.05239859,1127423,2,7,158.5,24.7,2.3,75
Chanthaburi,1,19,13.77720028,516855,2,7,277.1,25.1,2.1,85
Chiang Mai,1,10,43.87933866,1646144,2,6,362.25,19.3,2.5,86
Chiang Rai,1,12,31.95117351,1198656,2,6,239.6,20.85,1.15,95.5
Chon Buri,1,57,35.68299005,1338656,2,7,127.94,21.06,3.44,82
Chumphon,1,11,13.11952093,492182,2,6,217,25.45,1.75,94
Kalasin,1,7,26.16683121,981655,2,6,157.3,21.7,5,87
Kamphaeng Phet,1,7,19.35237426,726009,2,7,297.2,24.5,1.4,93
Kanchanaburi,1,14,22.36195103,838914,2,6,192.8,24.8,0.65,88
Khon Kaen,1,9,47.0759594,1766066,2,7,100.4,22.8,2.7,84
Krabi,1,33,11.67629419,438039,2,6.5,115.5,27.55,2.9,91
Lampang,1,2,20.19269938,757534,2,6.666666667,323.4,22.96666667,0.6,94.33333333
Lamphun,1,1,10.76767683,403952,2,7,296.7,23,0.8,94
Loei,1,0,16.65776282,624920,2,6.5,212,21.4,1.35,93
Lop Buri,1,35,20.15519463,756127,2,7,154.05,24.6,2.4,82
Mae Hong Son,1,2,6.505302599,244048,2,7,209.35,22.05,0.25,96
Maha Sarakham,1,4,25.04944537,939736,2,7,190.5,23.2,2.8,87
Mukdahan,1,0,9.078470073,340581,2,6,161.3,23.4,1.8,83
Nakhon Nayok,1,3,6.766076608,253831,2,0,0,0,0,0
Nakhon Pathom,1,63,23.08565688,866064,2,7,125.9,23.8,1.6,94
Nakhon Phanom,1,0,18.78617773,704768,2,5.5,234.25,20.5,1.8,89
Nakhon Ratchasima,1,28,68.91399004,2585325,2,6.666666667,156.7666667,24.03333333,3.033333333,83.66666667
Nakhon Sawan,1,33,28.56668246,1071686,2,6.5,275.35,25.2,1.05,82
Nakhon Si Thammarat,1,66,40.67869289,1526071,2,6.666666667,177.2666667,25.93333333,1.733333333,97
Nan,1,0,12.70448962,476612,2,6.75,264.275,21.2,0.15,95.75
Narathiwat,1,25,19.92182281,747372,2,7,174.8,25.5,2.7,92
Nong Bua Lam Phu,1,0,13.39591526,502551,2,4,0,22.2,2.5,87
Nong Khai,1,3,13.59100929,509870,2,7,225.3,22.8,2.4,88
Nonthaburi,1,29,29.92455722,1122627,2,9,260.1,0,0,0
Pathum Thani,1,8,26.94632772,1010898,2,9,260.1,25.8,2.6,89
Pattani,1,29,17.685745,663485,2,7,182.7,26.5,0.7,97
Phangnga,1,10,6.795398023,254931,2,6.5,161.25,25.6,1.4,83.5
Phatthalung,1,32,13.6228097,511063,2,7,405.9,27,1.8,92
Phayao,1,2,12.96731613,486472,2,6,24.7,26.4,2.2,94
Phetchabun,1,17,26.41078539,990807,2,7,247,21,0.6,96
Phetchaburi,1,9,12.42372373,466079,2,6,250.8666667,24.3,0.533333333,83.66666667
Phichit,1,22,14.65239123,549688,2,7,86.7,24.5,5.4,86
Phitsanulok,1,12,22.69362955,851357,2,8,236.9,24.6,1.5,94
Phra Nakhon Si Ayutthaya,1,24,20.9955464,787653,2,7,209.3,24.5,1.6,90
Phrae,1,0,12.22836314,458750,2,8,227.4,26.1,4.1,90
Phuket,1,22,9.432086347,353847,2,8,170.4,23,0.5,96
Prachin Buri,1,1,12.51896502,469652,2,6.5,167.25,28.1,3.15,87
Prachuap Khiri Khan,1,14,13.66292673,512568,2,6,112.9333333,25.03333333,2.333333333,83.66666667
Ranong,1,2,4.900648141,183849,2,7,546.3,26.1,2.3,88
Ratchaburi,1,37,22.46244352,842684,2,8,134.4,25.2,3.4,90
Rayong,1,34,16.99938397,637736,2,7,93.8,25.05,1.7,86.5
Roi Et,1,6,34.78740739,1305058,2,6.5,188.1,23.35,3.55,85.5
Sa Kaeo,1,7,14.54331556,545596,2,6.5,145.65,25.1,1.3,86.5
Sakon Nakhon,1,0,29.94385604,1123351,2,5,340.25,21.1,1.25,89
Samut Prakan,1,87,32.07291069,1203223,2,7.5,101.4,25.66666667,4.766666667,79.66666667
Samut Sakhon,1,41,13.30387267,499098,2,7.5,101.4,0,0,0
Samut Songkhram,1,3,5.173523898,194086,2,0,0,0,0,0
Saraburi,1,11,16.53871787,620454,2,8,0,0,0,85
Satun,1,14,8.035853843,301467,2,7,302,27.4,1.6,83
Si Sa Ket,1,3,38.70967986,1452203,2,5,234.4,23.4,1.7,84
Sing Buri,1,0,5.693339286,213587,2,7,0,0,0,85
Songkhla,1,100,36.43878952,1367010,2,6.25,155.05,26.375,3.65,91.5
Sukhothai,1,10,16.03358984,601504,2,7,214.9,24.1,0.6,94.5
Suphan Buri,1,27,22.52559118,845053,2,7.5,177.75,24.8,0.8,91.5
Surat Thani,1,15,26.97740842,1012064,2,6.25,114.575,26.125,2.15,93.75
Surin,1,14,36.79568446,1380399,2,6,176,23.36666667,2.166666667,85.33333333
Tak,1,14,14.15472684,531018,2,7.2,261.6,22.16,1,93.2
Trang,1,13,16.70542345,626708,2,6,353.5,25.7,3.2,85
Trat,1,5,5.917941331,222013,2,6,156.3,27,3.8,92
Ubon Ratchathani,1,13,48.40851112,1816057,2,7.5,237.55,23.6,3.4,86.5
Udon Thani,1,2,41.26608081,1548107,2,6,158.7,22,2.3,86
Uthai Thani,1,4,8.744019343,328034,2,0,0,0,0,0
Uttaradit,1,5,12.28940499,461040,2,7,166.8,24.7,0,85
Yala,1,3,13.16177042,493767,2,7,193.8,25.8,2.2,96
Yasothon,1,0,14.36357529,538853,2,5,237.55,0,0,88
Amnat Charoen,2,0,7.284942468,372241,2,7.5,237.55,0,0,88
Ang Thong,2,4,5.559215784,284061,2,8,227.4,0,0,88
Bangkok Metropolis,2,271,111.0595146,5674843,2,7.25,213.94,26.475,2.825,81.5
Bueng Kan,2,1,7.977601173,407634,2,5,0,0,0,75
Buri Ram,2,11,30.5120729,1559085,2,6.5,310.05,23.4,1.55,88
Chachoengsao,2,23,13.29561054,679370,2,8,262.6,24.4,1.8,91
Chai Nat,2,7,6.521986528,333256,2,7,178.6,24.7,3.1,88
Chaiyaphum,2,4,22.06423175,1127423,2,7,158.5,24.7,2.3,75
Chanthaburi,2,7,10.11511075,516855,2,7,277.1,25.1,2.1,85
Chiang Mai,2,5,32.21586105,1646144,2,6,362.25,19.3,2.5,86
Chiang Rai,2,2,23.45829718,1198656,2,6,239.6,20.85,1.15,95.5
Chon Buri,2,50,26.19816717,1338656,2,7,127.94,21.06,3.44,82
Chumphon,2,19,9.632247802,492182,2,6,217,25.45,1.75,94
Kalasin,2,1,19.21147912,981655,2,6,157.3,21.7,5,87
Kamphaeng Phet,2,15,14.20835909,726009,2,7,297.2,24.5,1.4,93
Kanchanaburi,2,29,16.41796639,838914,2,6,192.8,24.8,0.65,88
Khon Kaen,2,7,34.56279455,1766066,2,7,100.4,22.8,2.7,84
Krabi,2,29,8.572642223,438039,2,6.5,115.5,27.55,2.9,91
Lampang,2,0,14.8253191,757534,2,6.666666667,323.4,22.96666667,0.6,94.33333333
Lamphun,2,0,7.905542592,403952,2,7,296.7,23,0.8,94
Loei,2,2,12.22999682,624920,2,6.5,212,21.4,1.35,93
Lop Buri,2,46,14.79778341,756127,2,7,154.05,24.6,2.4,82
Mae Hong Son,2,0,4.776141369,244048,2,7,209.35,22.05,0.25,96
Maha Sarakham,2,2,18.39110333,939736,2,7,190.5,23.2,2.8,87
Mukdahan,2,1,6.66534044,340581,2,6,161.3,23.4,1.8,83
Nakhon Nayok,2,3,4.96759957,253831,2,0,0,0,0,0
Nakhon Pathom,2,53,16.94930546,866064,2,7,125.9,23.8,1.6,94
Nakhon Phanom,2,1,13.7926621,704768,2,5.5,234.25,20.5,1.8,89
Nakhon Ratchasima,2,20,50.59610276,2585325,2,6.666666667,156.7666667,24.03333333,3.033333333,83.66666667
Nakhon Sawan,2,41,20.9734308,1071686,2,6.5,275.35,25.2,1.05,82
Nakhon Si Thammarat,2,40,29.86597241,1526071,2,6.666666667,177.2666667,25.93333333,1.733333333,97
Nan,2,1,9.327535118,476612,2,6.75,264.275,21.2,0.15,95.75
Narathiwat,2,12,14.62644368,747372,2,7,174.8,25.5,2.7,92
Nong Bua Lam Phu,2,0,9.835174315,502551,2,4,0,22.2,2.5,87
Nong Khai,2,1,9.978410805,509870,2,7,225.3,22.8,2.4,88
Nonthaburi,2,21,21.97037164,1122627,2,9,260.1,0,0,0
Pathum Thani,2,12,19.78377925,1010898,2,9,260.1,25.8,2.6,89
Pattani,2,5,12.98473315,663485,2,7,182.7,26.5,0.7,97
Phangnga,2,13,4.98912712,254931,2,6.5,161.25,25.6,1.4,83.5
Phatthalung,2,8,10.00175841,511063,2,7,405.9,27,1.8,92
Phayao,2,1,9.520500247,486472,2,6,24.7,26.4,2.2,94
Phetchabun,2,21,19.39058833,990807,2,7,247,21,0.6,96
Phetchaburi,2,15,9.121399042,466079,2,6,250.8666667,24.3,0.533333333,83.66666667
Phichit,2,16,10.75766897,549688,2,7,86.7,24.5,5.4,86
Phitsanulok,2,15,16.66148212,851357,2,8,236.9,24.6,1.5,94
Phra Nakhon Si Ayutthaya,2,12,15.41476299,787653,2,7,209.3,24.5,1.6,90
Phrae,2,1,8.977966848,458750,2,8,227.4,26.1,4.1,90
Phuket,2,12,6.924962692,353847,2,8,170.4,23,0.5,96
Prachin Buri,2,4,9.191324438,469652,2,6.5,167.25,28.1,3.15,87
Prachuap Khiri Khan,2,8,10.03121201,512568,2,6,112.9333333,25.03333333,2.333333333,83.66666667
Ranong,2,3,3.598016844,183849,2,7,546.3,26.1,2.3,88
Ratchaburi,2,38,16.49174717,842684,2,8,134.4,25.2,3.4,90
Rayong,2,21,12.48081235,637736,2,7,93.8,25.05,1.7,86.5
Roi Et,2,5,25.54063751,1305058,2,6.5,188.1,23.35,3.55,85.5
Sa Kaeo,2,8,10.67758649,545596,2,6.5,145.65,25.1,1.3,86.5
Sakon Nakhon,2,0,21.98454068,1123351,2,5,340.25,21.1,1.25,89
Samut Prakan,2,62,23.54767565,1203223,2,7.5,101.4,25.66666667,4.766666667,79.66666667
Samut Sakhon,2,44,9.767597379,499098,2,7.5,101.4,0,0,0
Samut Songkhram,2,2,3.798360051,194086,2,0,0,0,0,0
Saraburi,2,19,12.14259497,620454,2,8,0,0,0,85
Satun,2,10,5.899859905,301467,2,7,302,27.4,1.6,83
Si Sa Ket,2,6,28.42033872,1452203,2,5,234.4,23.4,1.7,84
Sing Buri,2,3,4.180004371,213587,2,7,0,0,0,85
Songkhla,2,69,26.75306912,1367010,2,6.25,155.05,26.375,3.65,91.5
Sukhothai,2,7,11.771734,601504,2,7,214.9,24.1,0.6,94.5
